id,eta_th1_SAEM,eta_th2_SAEM,eta_th1_mean,eta_th2_mean,eta_th1_mode,eta_th2_mode,eta_th1_sd,eta_th2_sd,treatment
56,-0.45448,-0.012254,-0.435394,-0.0250797,-0.325656,-0.0131346,1.05664,0.197259,0
57,-0.463757,-0.0232672,-0.53151,-0.00627986,-0.325656,-0.0131348,1.02797,0.190095,0
58,-0.417709,-0.00978151,-0.413452,-0.0342963,-0.325656,-0.0131347,0.957864,0.211162,0
59,1.29009,-0.0144459,1.26349,0.00352527,1.34637,0.0196308,0.850099,0.190048,0
60,-0.428868,-0.0306527,-0.401325,-0.0176421,-0.325656,-0.0131347,1.0393,0.198882,0
61,1.16172,0.0197483,1.19057,0.028086,1.31181,0.0566719,0.850474,0.19045,0
62,2.26958,0.112393,2.27782,0.121523,2.31726,0.142216,0.811338,0.17155,0
63,-0.458411,-0.0174073,-0.514175,-0.0258144,-0.325657,-0.0131347,1.01185,0.191632,0
64,-0.431024,-0.025401,-0.409297,-0.0222951,-0.325656,-0.0131346,0.960271,0.198677,0
65,-0.452398,-0.0283253,-0.443607,-0.0182892,-0.325656,-0.0131346,1.05648,0.201013,0
66,-0.469055,-0.0310363,-0.364303,-0.0214405,-0.325657,-0.0131346,0.985157,0.207982,0
67,-0.494121,-0.0306037,-0.401939,-0.0338769,-0.325656,-0.0131348,1.02663,0.199067,0
68,0.538232,-0.0397102,0.497285,-0.0448118,0.632127,-0.0308092,0.941582,0.198234,0
69,-0.483172,-0.0217452,-0.483594,-0.0294183,-0.325656,-0.0131347,0.987289,0.1968,0
70,-0.460976,-0.0130758,-0.407553,-0.0365409,-0.325657,-0.0131347,1.03468,0.206657,0
71,0.527224,-0.0401742,0.554348,-0.0435508,0.632126,-0.0308091,0.901335,0.190242,0
72,-0.432758,-0.0297088,-0.360581,-0.023413,-0.325656,-0.0131346,1.03846,0.202433,0
73,-0.488841,-0.0337277,-0.43835,-0.0104979,-0.325656,-0.0131347,1.04291,0.209785,0
74,-0.4689,-0.0269452,-0.429786,-0.0316799,-0.325656,-0.0131346,1.04644,0.200751,0
75,-0.403754,-0.0348717,-0.449715,-0.0177791,-0.325656,-0.0131347,1.00082,0.199321,0
76,0.452856,-0.0421604,0.493082,-0.0592803,0.632127,-0.0308093,0.941126,0.203823,0
77,-0.410084,-0.0306275,-0.387777,-0.0427826,-0.325656,-0.0131347,0.976654,0.191326,0
78,0.366366,0.0384482,0.459106,0.00665049,0.58383,0.0497319,0.933044,0.194215,0
79,-0.445381,-0.0128213,-0.453819,-0.015375,-0.325656,-0.0131348,1.01199,0.19576,0
80,-0.476094,-0.0298577,-0.436612,-0.0283828,-0.325656,-0.0131347,0.973733,0.196992,0
81,-0.369954,-0.0238782,-0.449648,-0.0203811,-0.325656,-0.0131346,1.02798,0.194788,0
82,-0.385487,-0.0276491,-0.443491,-0.0306415,-0.325656,-0.0131348,1.00727,0.206627,0
83,1.1468,0.0258904,1.24209,0.0223943,1.31181,0.0566718,0.838525,0.184759,0
84,-0.403484,-0.0307283,-0.350519,-0.00331784,-0.325656,-0.0131347,0.996648,0.199526,0
85,-0.445371,-0.0235772,-0.51491,-0.0306813,-0.325656,-0.0131347,1.02826,0.204575,0
86,-0.352077,-0.0226147,-0.542154,-0.0114455,-0.325656,-0.0131346,1.02546,0.208512,0
87,-0.447915,-0.01304,-0.409419,-0.0240928,-0.325656,-0.0131347,0.978283,0.201762,0
88,1.30339,-0.038345,1.23037,-0.0423789,1.37899,-0.0183082,0.854242,0.193256,0
89,-0.391927,-0.0237463,-0.486972,-0.0269528,-0.325656,-0.0131348,1.01535,0.207811,0
90,-0.408985,-0.0203898,-0.429348,-0.0297085,-0.325656,-0.0131348,1.03319,0.192447,0
91,-0.471428,-0.030159,-0.452037,-0.00765128,-0.325656,-0.0131348,1.01137,0.193189,0
92,-0.412156,-0.016509,-0.409987,-0.0306566,-0.325656,-0.0131347,0.983347,0.199567,0
93,0.490246,0.0332531,0.398042,0.0195651,0.58383,0.049732,0.968269,0.18779,0
94,-0.453043,-0.0180521,-0.492522,-0.0269151,-0.325656,-0.0131345,1.03014,0.205035,0
95,-0.448085,-0.0319305,-0.413316,-0.0179704,-0.325656,-0.0131344,0.974384,0.195078,0
96,1.30774,0.345642,1.21667,0.363947,1.30463,0.382116,0.77926,0.147502,0
97,-0.475128,-0.0392323,-0.487592,-0.0244089,-0.325657,-0.0131347,1.01797,0.1965,0
98,-0.507975,-0.022454,-0.42573,-0.00931501,-0.325656,-0.0131347,0.982076,0.193343,0
99,1.83234,0.050975,1.84604,0.0513352,1.88297,0.0857423,0.807243,0.187931,0
100,1.3797,0.46974,1.46949,0.461027,1.54117,0.449932,0.743594,0.138144,0
101,-0.450877,-0.015332,-0.439735,-0.0230971,-0.325656,-0.0131346,0.982439,0.198624,0
102,-0.505152,-0.0168741,-0.421047,-0.0206977,-0.325656,-0.0131347,1.02126,0.205424,0
103,0.469655,-0.0412463,0.469202,-0.033493,0.632127,-0.0308091,0.91411,0.198287,0
104,0.45018,-0.0490937,0.549782,-0.0372114,0.632126,-0.0308092,0.902333,0.200444,0
105,1.22328,0.0026001,1.26506,-0.00176202,1.34637,0.0196308,0.839253,0.185778,0
106,1.25734,0.0060663,1.23218,0.000306686,1.34637,0.0196308,0.863308,0.189796,0
107,1.21376,0.0334118,1.21395,0.0276709,1.31181,0.0566717,0.930517,0.188895,0
108,-0.485202,-0.0303864,-0.446363,-0.0180826,-0.325656,-0.0131348,1.00294,0.206712,0
